"date","tempm","wspdm","hum","pressurem"
"2015-07-01 00:20:00","19.0","20.4","64","1013"
"2015-07-01 00:50:00","19.0","22.2","64","1013"
"2015-07-01 01:20:00","19.0","22.2","64","1012"
"2015-07-01 01:50:00","19.0","18.5","64","1012"
"2015-07-01 02:20:00","18.0","18.5","73","1012"
"2015-07-01 02:50:00","18.0","22.2","73","1011"
"2015-07-01 03:20:00","19.0","22.2","68","1011"
"2015-07-01 03:50:00","18.0","25.9","73","1011"
"2015-07-01 04:20:00","19.0","25.9","68","1011"
"2015-07-01 04:50:00","19.0","25.9","68","1010"
"2015-07-01 05:20:00","19.0","25.9","68","1010"
"2015-07-01 05:50:00","20.0","29.6","60","1009"
"2015-07-01 06:20:00","20.0","20.4","64","1010"
"2015-07-01 06:50:00","22.0","18.5","57","1010"
"2015-07-01 07:20:00","22.0","13.0","57","1010"
"2015-07-01 07:50:00","23.0","11.1","57","1010"
"2015-07-01 08:20:00","23.0","11.1","57","1011"
"2015-07-01 08:50:00","25.0","20.4","54","1010"
"2015-07-01 09:20:00","25.0","13.0","54","1010"
"2015-07-01 09:50:00","24.0","13.0","57","1011"
"2015-07-01 10:20:00","23.0","20.4","65","1011"
"2015-07-01 10:50:00","24.0","18.5","61","1010"
"2015-07-01 11:20:00","24.0","13.0","61","1011"
"2015-07-01 11:50:00","25.0","14.8","61","1011"
"2015-07-01 12:20:00","26.0","9.3","57","1011"
"2015-07-01 12:50:00","25.0","3.7","61","1010"
"2015-07-01 13:20:00","26.0","7.4","57","1011"
"2015-07-01 13:50:00","27.0","11.1","58","1010"
"2015-07-01 14:20:00","27.0","11.1","58","1010"
"2015-07-01 14:50:00","28.0","13.0","58","1010"
"2015-07-01 15:20:00","29.0","14.8","55","1010"
"2015-07-01 15:50:00","28.0","13.0","62","1010"
"2015-07-01 16:20:00","28.0","13.0","58","1010"
"2015-07-01 16:50:00","27.0","18.5","65","1010"
"2015-07-01 17:20:00","26.0","18.5","65","1011"
"2015-07-01 17:50:00","23.0","14.8","73","1011"
"2015-07-01 18:20:00","23.0","16.7","69","1011"
"2015-07-01 18:50:00","22.0","13.0","73","1011"
"2015-07-01 19:20:00","21.0","14.8","73","1011"
"2015-07-01 19:50:00","18.0","14.8","88","1012"
"2015-07-01 20:20:00","18.0","20.4","88","1012"
"2015-07-01 20:50:00","17.0","20.4","94","1013"
"2015-07-01 21:20:00","17.0","20.4","88","1013"
"2015-07-01 21:50:00","17.0","16.7","88","1013"
"2015-07-01 22:20:00","16.0","16.7","88","1014"
"2015-07-01 22:50:00","16.0","22.2","88","1014"
"2015-07-01 23:20:00","16.0","16.7","88","1014"
"2015-07-01 23:50:00","16.0","18.5","82","1014"
"2015-07-02 00:20:00","15.0","18.5","94","1015"
"2015-07-02 00:50:00","14.0","11.1","94","1015"
"2015-07-02 01:20:00","14.0","9.3","94","1015"
"2015-07-02 01:50:00","14.0","9.3","94","1015"
"2015-07-02 02:20:00","14.0","7.4","94","1016"
"2015-07-02 02:50:00","14.0","11.1","94","1016"
"2015-07-02 03:20:00","14.0","9.3","94","1015"
"2015-07-02 03:50:00","14.0","7.4","94","1015"
"2015-07-02 04:20:00","14.0","9.3","94","1016"
"2015-07-02 04:50:00","13.0","9.3","100","1016"
"2015-07-02 05:20:00","14.0","5.6","94","1016"
"2015-07-02 05:50:00","15.0","9.3","94","1016"
"2015-07-02 06:20:00","15.0","5.6","94","1016"
"2015-07-02 06:50:00","15.0","7.4","94","1016"
"2015-07-02 07:20:00","15.0","9.3","94","1017"
"2015-07-02 07:50:00","15.0","5.6","94","1017"
"2015-07-02 08:20:00","16.0","7.4","88","1017"
"2015-07-02 08:50:00","16.0","3.7","94","1017"
"2015-07-02 09:20:00","17.0","3.7","88","1017"
"2015-07-02 09:50:00","17.0","3.7","88","1018"
"2015-07-02 10:20:00","16.0","13.0","94","1018"
"2015-07-02 10:50:00","16.0","5.6","88","1018"
"2015-07-02 11:20:00","16.0","9.3","94","1019"
"2015-07-02 11:50:00","16.0","3.7","94","1019"
"2015-07-02 12:20:00","16.0","3.7","94","1019"
"2015-07-02 12:50:00","17.0","5.6","88","1018"
"2015-07-02 13:20:00","16.0","3.7","94","1018"
"2015-07-02 13:50:00","14.0","29.6","100","1019"
"2015-07-02 14:20:00","13.0","27.8","94","1020"
"2015-07-02 14:50:00","13.0","24.1","94","1020"
"2015-07-02 15:20:00","13.0","22.2","94","1020"
"2015-07-02 15:50:00","13.0","11.1","94","1020"
"2015-07-02 16:20:00","15.0","3.7","88","1020"
"2015-07-02 16:50:00","16.0","13.0","82","1021"
"2015-07-02 17:20:00","16.0","14.8","82","1021"
"2015-07-02 17:50:00","17.0","14.8","72","1021"
"2015-07-02 18:20:00","16.0","16.7","82","1022"
"2015-07-02 18:50:00","16.0","13.0","82","1022"
"2015-07-02 19:20:00","16.0","13.0","77","1022"
"2015-07-02 19:50:00","16.0","11.1","77","1022"
"2015-07-02 20:20:00","16.0","9.3","68","1023"
"2015-07-02 20:50:00","15.0","5.6","72","1023"
"2015-07-02 21:20:00","14.0","5.6","77","1023"
"2015-07-02 21:50:00","13.0","7.4","82","1024"
"2015-07-02 22:20:00","13.0","7.4","82","1024"
"2015-07-02 22:50:00","13.0","9.3","82","1024"
"2015-07-02 23:20:00","13.0","7.4","82","1024"
"2015-07-02 23:50:00","12.0","9.3","88","1024"
