date,tempm,wspdm,hum,pressurem
2015-07-02 00:20:00,15.0,18.5,94,1015
2015-07-02 00:50:00,14.0,11.1,94,1015
2015-07-02 01:20:00,14.0,9.3,94,1015
2015-07-02 01:50:00,14.0,9.3,94,1015
2015-07-02 02:20:00,14.0,7.4,94,1016
2015-07-02 02:50:00,14.0,11.1,94,1016
2015-07-02 03:20:00,14.0,9.3,94,1015
2015-07-02 03:50:00,14.0,7.4,94,1015
2015-07-02 04:20:00,14.0,9.3,94,1016
2015-07-02 04:50:00,13.0,9.3,100,1016
2015-07-02 05:20:00,14.0,5.6,94,1016
2015-07-02 05:50:00,15.0,9.3,94,1016
2015-07-02 06:20:00,15.0,5.6,94,1016
2015-07-02 06:50:00,15.0,7.4,94,1016
2015-07-02 07:20:00,15.0,9.3,94,1017
2015-07-02 07:50:00,15.0,5.6,94,1017
2015-07-02 08:20:00,16.0,7.4,88,1017
2015-07-02 08:50:00,16.0,3.7,94,1017
2015-07-02 09:20:00,17.0,3.7,88,1017
2015-07-02 09:50:00,17.0,3.7,88,1018
2015-07-02 10:20:00,16.0,13.0,94,1018
2015-07-02 10:50:00,16.0,5.6,88,1018
2015-07-02 11:20:00,16.0,9.3,94,1019
2015-07-02 11:50:00,16.0,3.7,94,1019
2015-07-02 12:20:00,16.0,3.7,94,1019
2015-07-02 12:50:00,17.0,5.6,88,1018
2015-07-02 13:20:00,16.0,3.7,94,1018
2015-07-02 13:50:00,14.0,29.6,100,1019
2015-07-02 14:20:00,13.0,27.8,94,1020
2015-07-02 14:50:00,13.0,24.1,94,1020
2015-07-02 15:20:00,13.0,22.2,94,1020
2015-07-02 15:50:00,13.0,11.1,94,1020
2015-07-02 16:20:00,15.0,3.7,88,1020
2015-07-02 16:50:00,16.0,13.0,82,1021
2015-07-02 17:20:00,16.0,14.8,82,1021
2015-07-02 17:50:00,17.0,14.8,72,1021
2015-07-02 18:20:00,16.0,16.7,82,1022
2015-07-02 18:50:00,16.0,13.0,82,1022
2015-07-02 19:20:00,16.0,13.0,77,1022
2015-07-02 19:50:00,16.0,11.1,77,1022
2015-07-02 20:20:00,16.0,9.3,68,1023
2015-07-02 20:50:00,15.0,5.6,72,1023
2015-07-02 21:20:00,14.0,5.6,77,1023
2015-07-02 21:50:00,13.0,7.4,82,1024
2015-07-02 22:20:00,13.0,7.4,82,1024
2015-07-02 22:50:00,13.0,9.3,82,1024
2015-07-02 23:20:00,13.0,7.4,82,1024
2015-07-02 23:50:00,12.0,9.3,88,1024
