date,tempm,wspdm,hum,pressurem
2015-07-02 00:00:00,23,16.7,56,1014
2015-07-02 00:20:00,22.0,14.8,64,1014
2015-07-02 00:50:00,21.0,14.8,68,1014
2015-07-02 01:00:00,21,18.5,57,1014
2015-07-02 01:20:00,21.0,18.5,68,1014
2015-07-02 01:50:00,20.0,20.4,73,1015
2015-07-02 02:00:00,19,20.4,67,1015
2015-07-02 02:20:00,19.0,14.8,78,1015
2015-07-02 02:50:00,18.0,18.5,83,1015
2015-07-02 03:00:00,18,20.4,81,1015
2015-07-02 03:20:00,18.0,16.7,83,1015
2015-07-02 03:50:00,18.0,18.5,88,1015
2015-07-02 04:00:00,18,20.4,79,1016
2015-07-02 04:20:00,18.0,16.7,83,1015
2015-07-02 04:50:00,18.0,11.1,83,1015
2015-07-02 05:00:00,17,11.1,85,1016
2015-07-02 05:20:00,18.0,13.0,88,1016
2015-07-02 05:50:00,18.0,11.1,88,1017
2015-07-02 06:00:00,18,9.3,78,1017
2015-07-02 06:20:00,18.0,7.4,83,1017
2015-07-02 06:50:00,18.0,9.3,83,1017
2015-07-02 07:00:00,18,9.3,73,1017
2015-07-02 07:20:00,18.0,14.8,77,1017
2015-07-02 07:50:00,19.0,5.6,73,1017
2015-07-02 08:00:00,19,5.6,66,1017
2015-07-02 08:20:00,20.0,13.0,68,1017
2015-07-02 08:50:00,21.0,9.3,64,1018
2015-07-02 09:00:00,20,9.3,57,1018
2015-07-02 09:20:00,20.0,13.0,68,1018
2015-07-02 09:50:00,20.0,14.8,73,1018
2015-07-02 10:00:00,20,13.0,61,1018
2015-07-02 10:20:00,20.0,9.3,73,1018
2015-07-02 10:50:00,20.0,7.4,73,1019
2015-07-02 11:00:00,20,9.3,63,1019
2015-07-02 11:20:00,20.0,11.1,73,1018
2015-07-02 11:50:00,21.0,7.4,73,1018
2015-07-02 12:00:00,21,7.4,67,1019
2015-07-02 12:20:00,22.0,13.0,69,1018
2015-07-02 12:50:00,22.0,11.1,64,1019
2015-07-02 13:00:00,22,9.3,56,1019
2015-07-02 13:20:00,23.0,7.4,61,1019
2015-07-02 13:50:00,23.0,7.4,61,1018
2015-07-02 14:20:00,24.0,11.1,57,1018
2015-07-02 14:50:00,25.0,13.0,50,1018
2015-07-02 15:00:00,24,16.7,42,1018
2015-07-02 15:20:00,26.0,18.5,51,1018
2015-07-02 15:50:00,25.0,14.8,54,1018
2015-07-02 16:00:00,25,14.8,48,1018
2015-07-02 16:20:00,26.0,24.1,51,1019
2015-07-02 16:50:00,26.0,25.9,51,1019
2015-07-02 17:00:00,26,25.9,42,1019
2015-07-02 17:20:00,25.0,22.2,54,1019
2015-07-02 17:50:00,24.0,25.9,57,1020
2015-07-02 18:00:00,24,25.9,50,1020
2015-07-02 18:20:00,21.0,33.3,64,1020
2015-07-02 18:50:00,21.0,20.4,64,1021
2015-07-02 19:00:00,21,22.2,53,1021
2015-07-02 19:20:00,21.0,14.8,60,1021
2015-07-02 19:50:00,21.0,14.8,60,1021
2015-07-02 20:00:00,21,13.0,50,1021
2015-07-02 20:20:00,20.0,16.7,64,1022
2015-07-02 20:50:00,19.0,20.4,68,1022
2015-07-02 21:00:00,19,20.4,57,1022
2015-07-02 21:20:00,19.0,20.4,68,1023
2015-07-02 21:50:00,18.0,9.3,73,1023
2015-07-02 22:00:00,18,11.1,62,1023
2015-07-02 22:20:00,18.0,9.3,73,1023
2015-07-02 22:50:00,18.0,7.4,73,1023
2015-07-02 23:00:00,17,5.6,67,1024
2015-07-02 23:20:00,17.0,7.4,77,1024
2015-07-02 23:50:00,17.0,7.4,72,1024
